,turda,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,dephm,SOLID,Condi,Y house price of unit area
0,1604.093097749,32.0,84.87882,10,24.98298,121.54024,0.0,2912.211247,532.8851961,37.9
1,1603.15994937,19.5,306.5947,9,24.98034,121.53951,8.0,8896.195118,430.8368251,42.2
2,1603.993409764,13.3,561.9845,5,24.98746,121.54391,10.0,20988.42941,381.3573499,47.3
3,1604.063613621,13.3,561.9845,5,24.98746,121.54391,19.0,21144.97526,306.3559039,54.8
4,1602.544733701,5.0,390.5684,5,24.97937,121.54245,20.0,22372.30327,341.7601979,43.1
5,1603.357439471,7.1,2175.03,3,24.96305,121.51254,30.0,14859.05966,445.037456,32.1
6,1604.181050753,34.5,623.4731,7,24.97933,121.53642,39.0,16905.80152,481.3070516,40.3
7,1603.7829719,20.3,287.6025,6,24.98042,121.54228,50.0,14462.67431,534.8009878,46.7
8,1602.283475159,31.7,5512.038,1,24.95095,121.48458,58.0,2552.962804,517.4274709,18.8
9,1604.192932215,17.9,1783.18,3,24.96731,121.51486,75.0,7013.211787,419.788898,22.1
10,1603.878447314,34.8,405.2134,1,24.97349,121.53372,78.0,10859.55375,358.0562635,41.4
11,1603.354322267,6.3,90.45606,9,24.97433,121.5431,100.0,34226.07213,415.5775127,58.1
12,1602.752134121,13.0,492.2313,5,24.96515,121.53737,117.0,15249.62024,361.9016284,39.3
13,1602.856175487,20.4,2469.645,4,24.96108,121.51046,125.0,18409.03732,389.6832344,23.8
14,1602.956748075,13.2,1164.838,4,24.99156,121.53406,150.0,26132.21181,326.0262267,34.3
15,1603.946989523,35.7,579.2083,2,24.9824,121.54619,152.0,28001.11818,365.0915872,50.5
16,1604.53159367,0.0,292.9978,6,24.97744,121.54458,200.0,21575.24522,444.1166326,70.1
17,1604.482459764,17.7,350.8515,1,24.97544,121.53119,221.0,15335.51143,399.6054465,37.4
18,1604.649382034,16.9,368.1363,8,24.9675,121.54451,250.0,29542.33817,456.3084539,42.3
19,1603.407349428,1.5,23.38284,7,24.96772,121.54102,285.0,10676.50848,492.2064736,47.7
20,1604.702310753,4.5,2275.877,3,24.96314,121.51151,300.0,21078.88717,447.9877914,29.3
21,1605.206480177,10.5,279.1726,7,24.97528,121.54541,373.0,31292.1277,370.7714128,51.6
22,1603.374326523,14.7,1360.139,1,24.95204,121.54842,400.0,13454.63478,471.3686946,24.6
23,1603.940000423,10.1,279.1726,7,24.97528,121.54541,500.0,18397.19941,436.9917521,47.9
24,1605.128346524,39.6,480.6977,4,24.97353,121.53885,598.0,23433.90177,329.7408617,38.8
25,1604.105178268,29.3,1487.868,2,24.97542,121.51726,600.0,25926.07564,399.1317179,27.0
26,1604.939109441,3.1,383.8624,5,24.98085,121.54391,700.0,20015.39811,377.6820972,56.2
27,1602.339572736,10.4,276.449,5,24.95593,121.53913,800.0,35643.18121,256.3025585,33.6
28,1604.671557881,19.2,557.478,4,24.97419,121.53797,896.0,23207.09284,496.1051876,47.0
29,1604.382161619,7.1,451.2438,5,24.97563,121.54694,0.0,19185.79188,459.0835568,57.1
30,1604.795025555,25.9,4519.69,0,24.94826,121.49587,10.0,14310.6233,403.3605959,22.1
31,1604.587086719,29.6,769.4034,7,24.98281,121.53408,20.0,25394.10472,434.7197472,25.0
32,1603.861956077,37.9,488.5727,1,24.97349,121.53451,24.0,18476.61917,518.043369,34.2
33,1603.096163272,16.5,323.655,6,24.97841,121.54281,30.0,20229.10815,379.222873,49.3
34,1603.841221574,15.4,205.367,7,24.98419,121.54243,47.0,23894.13601,494.1291249,55.1
35,1604.543685761,13.9,4079.418,0,25.01459,121.51816,50.0,17342.31408,444.4534957,27.3
36,1604.97857536,14.7,1935.009,2,24.96386,121.51458,71.0,15049.5842,441.2980876,22.9
37,1604.978556095,12.0,1360.139,1,24.95204,121.54842,75.0,30253.8511,529.7465288,25.3
38,1604.604404561,3.1,577.9615,6,24.97201,121.54722,94.0,9782.344284,511.1615111,47.7
39,1603.268693507,16.2,289.3248,5,24.98203,121.54348,100.0,17527.71673,409.4793779,46.2
40,1602.840910756,13.6,4082.015,0,24.94155,121.50381,125.0,21443.26475,412.9967634,15.9
41,1602.355934229,16.8,4066.587,0,24.94297,121.50342,140.0,29616.49287,530.7996675,18.2
42,1606.739,36.1,519.4617,5,24.96305,121.53758,150.0,18408.29497,350.8943618,34.7
43,1605.265728858,34.4,512.7871,6,24.98748,121.54301,189.0,21610.5813,480.0130563,34.1
44,1604.514981624,2.7,533.4762,4,24.97445,121.54765,200.0,21318.96169,457.8115556,53.9
45,1605.45860969,36.6,488.8193,8,24.97015,121.54494,250.0,15288.21377,334.9373022,38.3
46,1604.247240149,21.7,463.9623,9,24.9703,121.54458,282.0,11826.29428,543.3479764,42.0
47,1603.242849929,35.9,640.7391,3,24.97563,121.53715,300.0,10930.05567,400.7061608,61.5
48,1606.032994877,24.2,4605.749,0,24.94684,121.49578,379.0,25993.71141,566.7547238,13.4
49,1603.888235227,29.4,4510.359,1,24.94925,121.49542,400.0,17909.36578,417.2873151,13.2
50,1604.881101138,21.7,512.5487,4,24.974,121.53842,500.0,26853.94949,375.5473617,44.2
51,1604.143224936,31.3,1758.406,1,24.95402,121.55282,565.0,19156.12313,506.7568077,20.7
52,1604.267189591,32.1,1438.579,3,24.97419,121.5175,600.0,29009.01082,463.4784249,27.0
53,1602.950360943,13.3,492.2313,5,24.96515,121.53737,700.0,22274.36837,492.1354893,38.9
54,1603.662563465,16.1,289.3248,5,24.98203,121.54348,800.0,40149.31656,355.5464203,51.7
55,1604.11748804,31.7,1160.632,0,24.94968,121.53009,840.0,16544.27559,278.7532038,13.7
56,1604.328026357,33.6,371.2495,8,24.97254,121.54059,900.0,42061.3228,503.1392455,41.9
57,1603.774600526,3.5,56.47425,7,24.95744,121.53711,1000.0,20574.36426,353.9275932,53.5
58,1604.604633154,30.3,4510.359,1,24.94925,121.49542,1100.0,8777.686784,596.8258366,22.6
59,1604.106543052,13.3,336.0532,5,24.95776,121.53438,1200.0,31085.08343,584.6043537,42.4
60,1605.068556189,11.0,1931.207,2,24.96365,121.51471,1203.0,42210.88524,410.6485372,21.3
61,1604.237643894,5.3,259.6607,6,24.97585,121.54516,0.0,21891.67716,379.2701222,63.2
62,1602.907387267,17.2,2175.877,3,24.96303,121.51254,10.0,37376.79299,343.7640131,27.7
63,1602.877062813,2.6,533.4762,4,24.97445,121.54765,20.0,23608.86224,526.4259147,55.0
64,1604.644211645,17.5,995.7554,0,24.96305,121.54915,22.0,19835.98077,596.0763683,25.3
65,1603.403136416,40.1,123.7429,8,24.97635,121.54329,30.0,41411.60171,509.7678877,44.3
66,1604.091205593,1.0,193.5845,6,24.96571,121.54089,38.0,45510.58432,420.124761,50.7
67,1603.912148351,8.5,104.8101,5,24.96674,121.54067,49.0,17264.84092,631.3042163,56.8
68,1604.286478967,30.4,464.223,6,24.97964,121.53805,50.0,29072.03812,467.2180731,36.2
69,1603.932804334,12.5,561.9845,5,24.98746,121.54391,55.0,25969.21512,461.8362776,42.0
